"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.007958875E0,1.054974748E-1,3.924651146E-2,7.942799270E-2,1.377636087E-1
1.017937875E0,7.649630841E-2,3.926229894E-2,4.680811247E-2,9.789899239E-2
1.027915875E0,6.483683249E-2,2.520500779E-2,3.440033913E-2,7.760470731E-2
1.037894875E0,6.395070523E-2,7.393804193E-3,4.342547994E-2,7.765393324E-2
1.047872875E0,7.629351966E-2,-1.553020477E-2,4.761910301E-2,9.126591573E-2
1.057851875E0,6.706754526E-2,-3.727950811E-2,6.591390789E-2,1.011556257E-1
1.067830250E0,4.587822245E-2,-3.239532888E-2,7.088583190E-2,9.043820981E-2
1.077808250E0,5.755514866E-2,-8.652709723E-3,6.050059218E-2,8.395109396E-2
1.087787250E0,7.937542258E-2,-7.369245887E-3,5.337809879E-2,9.593740108E-2
1.097765250E0,1.063725654E-1,-3.243158162E-2,4.691455007E-2,1.206975773E-1
1.107744250E0,7.931192547E-2,-7.185994148E-2,-2.014829915E-2,1.089044842E-1
1.117722250E0,5.280136233E-2,-8.911682904E-2,-7.101322811E-2,1.255892975E-1
1.127700250E0,1.792226415E-2,-9.497047663E-2,-1.247140567E-1,1.577789432E-1
1.137679250E0,-4.590886552E-3,-9.182116628E-2,-9.060377598E-2,1.290784530E-1
1.147657250E0,5.680294091E-2,-8.402624309E-2,-2.338535428E-2,1.040858224E-1
1.157636250E0,1.096815961E-1,-9.899394572E-2,5.117190778E-2,1.563598988E-1
1.167614250E0,1.424225137E-1,-1.244480449E-1,4.660815597E-2,1.947917054E-1
1.177592250E0,1.419851054E-1,-1.329943353E-1,-2.658107691E-3,1.945618897E-1
1.187571250E0,1.056370040E-1,-1.060538739E-1,-1.044231037E-1,1.825124252E-1
1.197549250E0,6.188484740E-2,-8.791873455E-2,-1.281961101E-1,1.673131222E-1
1.207528250E0,4.141882516E-2,-4.070890009E-2,-1.036190933E-1,1.187840483E-1
1.217506250E0,4.270150328E-2,-2.011032879E-2,-6.481112301E-2,8.017683813E-2
1.227484250E0,6.685582124E-2,1.637863576E-2,1.237508375E-2,6.993642285E-2
1.237463250E0,7.042296996E-2,1.408477306E-2,9.222524542E-2,1.168899971E-1
1.247441250E0,6.691281332E-2,1.430579782E-2,1.437497038E-1,1.592041387E-1
1.257420250E0,6.017599862E-2,-8.263869882E-3,1.456956571E-1,1.578501405E-1
1.267398250E0,7.459311280E-2,-2.771521747E-2,9.981546124E-2,1.276534060E-1
1.277376250E0,2.933372676E-2,-1.977352917E-2,2.268483957E-2,4.202453960E-2
