"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.668826625E0,-8.087335132E-2,-5.454464024E-1,-2.618659450E-1,6.104310363E-1
1.678804625E0,-2.390416859E-1,-5.896490139E-1,-4.352550387E-1,7.708915851E-1
1.688782625E0,-2.944837056E-1,-6.437866294E-1,-6.071011984E-1,9.326058880E-1
1.698759625E0,-2.917564363E-1,-6.722923905E-1,-7.566620113E-1,1.053392745E0
1.708737625E0,-2.861876578E-1,-6.741208148E-1,-9.107928617E-1,1.168711207E0
1.718715625E0,-2.187387462E-1,-6.777098358E-1,-1.004465110E0,1.231295017E0
1.728693625E0,-1.662200784E-1,-6.792377132E-1,-9.813007808E-1,1.204966476E0
1.738670625E0,-1.627633142E-1,-6.457834536E-1,-8.497198637E-1,1.079607342E0
1.748648625E0,-8.960477005E-2,-6.058136415E-1,-7.021718086E-1,9.317104872E-1
1.758626625E0,1.711793396E-2,-5.894075239E-1,-5.890468968E-1,8.334689554E-1
1.768604625E0,2.857978312E-2,-5.614888233E-1,-5.269592607E-1,7.705663924E-1
1.778581625E0,-6.958396761E-3,-4.926782048E-1,-3.860559815E-1,6.259548335E-1
1.788559625E0,4.965300215E-3,-4.123672825E-1,-2.626832396E-1,4.889518527E-1
1.798537625E0,7.721748937E-2,-3.429391980E-1,-2.369543213E-1,4.239306365E-1
1.808515625E0,1.694627615E-1,-3.133300674E-1,-2.588908817E-1,4.403610420E-1
1.818492625E0,2.050787550E-1,-2.091888177E-1,-3.732431240E-1,4.744762237E-1
1.828470625E0,1.682220920E-1,-4.895172000E-2,-4.786964889E-1,5.097502051E-1
1.838448625E0,1.400341089E-1,-2.183935046E-3,-5.551248600E-1,5.725189354E-1
1.848425625E0,1.338477456E-1,2.316549897E-2,-5.628792912E-1,5.790379571E-1
1.858403625E0,1.356681574E-1,9.055758297E-2,-4.255721958E-1,4.557611420E-1
1.868381625E0,1.935628100E-1,1.921903771E-1,-2.143226731E-1,3.468975507E-1
1.878359625E0,2.022829820E-1,2.508706945E-1,-4.420670450E-2,3.252825585E-1
1.888336625E0,1.565688470E-1,2.726398784E-1,-3.233510256E-3,3.144149531E-1
1.898314625E0,9.235176455E-2,3.183060479E-1,-6.513403550E-2,3.377721586E-1
1.908292625E0,7.559268518E-2,3.592348033E-1,-1.106967093E-1,3.834288192E-1
1.918270625E0,-1.799644156E-2,4.058260024E-1,-1.304296003E-1,4.266503214E-1
1.928247625E0,-1.546582693E-1,4.693068838E-1,-8.536657110E-2,5.014534703E-1
1.938225625E0,-2.230493318E-1,5.783165252E-1,-3.352208734E-3,6.198485662E-1
1.948203625E0,-3.077551127E-1,7.888484484E-1,-2.147053733E-2,8.470277846E-1
1.958181625E0,-3.562701919E-1,9.101711565E-1,-2.118469620E-1,1.000109554E0
1.968158625E0,-2.238461429E-1,8.475831449E-1,-2.859082340E-1,9.220888251E-1
1.978136625E0,3.625071793E-2,8.643295705E-1,-1.713836449E-1,8.819025313E-1
1.988114625E0,2.900466557E-1,1.066066697E0,1.530773284E-1,1.115373450E0
1.998091625E0,3.707415390E-1,1.207065870E0,3.869855426E-1,1.320687364E0
2.008069625E0,3.410815376E-1,1.221055918E0,2.551279061E-1,1.293214762E0
2.018047625E0,3.091544976E-1,1.093181405E0,-1.936691380E-1,1.152445150E0
2.028025625E0,3.568520995E-1,8.755182177E-1,-5.802607244E-1,1.109314238E0
2.038002625E0,4.774712414E-1,6.903158480E-1,-6.517060983E-1,1.062654975E0
2.047980625E0,5.895646678E-1,5.587575889E-1,-3.697575988E-1,8.924781356E-1
2.057958625E0,7.559552291E-1,3.789539534E-1,4.634897813E-2,8.468899781E-1
2.067936625E0,9.188394345E-1,1.131822145E-1,4.690254866E-1,1.037815507E0
2.077913625E0,9.980438443E-1,-1.661053634E-1,8.653456704E-1,1.331354812E0
2.087891625E0,8.802863297E-1,-4.554530758E-1,1.122757060E0,1.497639791E0
2.097869625E0,6.343219607E-1,-7.301839185E-1,1.047782892E0,1.425967003E0
2.107847625E0,3.508168228E-1,-8.623537964E-1,6.606054144E-1,1.141545455E0
2.117824625E0,1.044208927E-1,-8.149673760E-1,1.493967985E-1,8.351017604E-1
2.127802625E0,1.990197605E-2,-7.346821815E-1,-3.719573213E-1,8.237149054E-1
2.137780625E0,-5.236203544E-2,-6.660194975E-1,-7.152969074E-1,9.787611658E-1
2.147758625E0,4.923583986E-2,-5.335718769E-1,-7.854186179E-1,9.507920493E-1
2.157735625E0,2.366019534E-1,-3.869348180E-1,-6.372878878E-1,7.821987533E-1
2.167713625E0,4.358447304E-1,-2.240407455E-1,-2.253984690E-1,5.394064836E-1
2.177691625E0,6.353397417E-1,-1.841370070E-1,1.561757679E-1,6.796719026E-1
2.187668625E0,7.514353314E-1,-1.872266757E-1,3.782077025E-1,8.618294214E-1
2.197646625E0,7.864993295E-1,-1.593108988E-1,4.903698702E-1,9.404380721E-1
2.207624625E0,7.648402195E-1,-1.593073905E-1,5.234613101E-1,9.404100963E-1
2.217602625E0,7.536226286E-1,-2.089824110E-1,5.154127640E-1,9.366274775E-1
2.227579625E0,7.776802665E-1,-2.320046532E-1,4.974102102E-1,9.518559099E-1
2.237557625E0,8.326584193E-1,-2.752214241E-1,4.293532978E-1,9.764277392E-1
