"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.433923333E-1,-3.740360065E-1,7.091158158E-1,1.572827336E0,1.765370783E0
8.533713333E-1,-6.732253868E-1,-5.564666498E-1,1.444700807E0,1.688208511E0
8.633493333E-1,-8.186245170E-1,-1.672587267E0,1.158690028E0,2.193229775E0
8.733283333E-1,-9.370648402E-1,-2.720241666E0,8.485643077E-1,2.999644416E0
8.833063333E-1,-1.070102883E0,-3.712711798E0,7.505101557E-1,3.936065875E0
8.932853333E-1,-1.165931439E0,-4.576907467E0,8.990586694E-1,4.807887746E0
9.032633333E-1,-1.149553388E0,-5.336211689E0,1.196545414E0,5.588233094E0
9.132423333E-1,-1.108795664E0,-6.082607598E0,1.414524497E0,6.342588002E0
9.232213333E-1,-1.016794403E0,-6.844645393E0,1.414783236E0,7.062906839E0
9.331993333E-1,-9.952307488E-1,-7.566488258E0,1.213090037E0,7.727471530E0
9.431783333E-1,-9.725033525E-1,-8.154228741E0,9.376997747E-1,8.265378999E0
9.531563333E-1,-9.878884732E-1,-8.448298665E0,6.230640241E-1,8.528650699E0
9.631353333E-1,-1.254204953E0,-8.333472798E0,4.225444344E-1,8.437911041E0
9.731133333E-1,-1.594774567E0,-7.890122289E0,3.644492771E-1,8.057925225E0
9.830923333E-1,-1.727209470E0,-6.816246636E0,2.812954386E-1,7.037300468E0
9.930703333E-1,-1.808726088E0,-5.467837776E0,2.888295760E-1,5.766468809E0
1.003049333E0,-1.683642012E0,-4.119751682E0,-2.513332824E-1,4.457597197E0
1.013028333E0,-1.501578282E0,-2.764133790E0,-1.520176667E0,3.493724380E0
1.023006333E0,-1.471591714E0,-1.179089282E0,-3.155439987E0,3.675953647E0
1.032985333E0,-1.581671542E0,8.996017295E-1,-4.739933102E0,5.077197450E0
1.042963333E0,-1.818709770E0,3.464484045E0,-5.247089598E0,6.545403286E0
1.052942333E0,-2.074610240E0,6.239809991E0,-3.704561364E0,7.547384399E0
1.062920333E0,-2.167734751E0,7.959560899E0,-8.588151345E-1,8.294048896E0
1.072899333E0,-1.842384854E0,8.176974995E0,2.108917024E0,8.643195765E0
1.082877333E0,-9.548330668E-1,8.029362620E0,3.147785981E0,8.677034450E0
1.092856333E0,-5.074511586E-1,8.244417365E0,1.764134198E0,8.446306520E0
1.102834667E0,-1.421542764E0,8.353304799E0,-3.723478422E-1,8.481575786E0
1.112813667E0,-2.599885795E0,8.381867863E0,-1.747100675E0,8.948043126E0
1.122792667E0,-2.894634580E0,8.207622591E0,-1.928878330E0,8.914289066E0
1.132770667E0,-2.374328282E0,7.573897265E0,-9.996820879E-1,8.000044928E0
1.142749667E0,-1.642757550E0,6.718548433E0,5.463248004E-1,6.938012410E0
1.152727667E0,-1.016623664E0,5.900384969E0,2.001721919E0,6.313078259E0
1.162706667E0,-4.046677786E-1,4.942260797E0,2.906668442E0,5.747905639E0
1.172684667E0,1.611585824E-1,3.600234173E0,3.029229591E0,4.707854087E0
1.182663667E0,6.366452788E-1,1.963723058E0,2.438939137E0,3.195301171E0
1.192641667E0,1.027433704E0,2.369291782E-1,1.444198532E0,1.788145646E0
1.202620667E0,1.337061899E0,-1.431527030E0,4.526848577E-1,2.010454611E0
1.212599667E0,1.494615271E0,-2.937586765E0,-3.377918941E-1,3.313215081E0
1.222577667E0,1.629527201E0,-4.195426932E0,-8.084261689E-1,4.572802085E0
1.232556667E0,1.700605224E0,-5.214370918E0,-9.036124078E-1,5.558618315E0
1.242534667E0,1.675933774E0,-6.136955128E0,-7.567035265E-1,6.406525774E0
1.252513667E0,1.574568198E0,-6.941146671E0,-4.651928560E-1,7.132684383E0
1.262491667E0,1.487922256E0,-7.601998984E0,-1.663211256E-1,7.748029679E0
1.272470667E0,1.450147781E0,-8.107504225E0,8.240948796E-2,8.236585741E0
1.282448667E0,1.466455666E0,-8.429496358E0,2.288390438E-1,8.559162832E0
1.292427667E0,1.509179808E0,-8.683344455E0,1.660275954E-1,8.815081382E0
1.302405667E0,1.500358260E0,-8.850951968E0,7.448117517E-2,8.977526001E0
1.312384667E0,1.445862649E0,-8.749661821E0,1.270575842E-1,8.869230204E0
1.322363667E0,1.326320126E0,-8.268768679E0,2.828287248E-1,8.379239382E0
1.332341667E0,1.291204818E0,-7.413804594E0,2.438821755E-1,7.529355016E0
1.342320667E0,1.242518708E0,-5.978816596E0,-2.188840129E-1,6.110483683E0
1.352298667E0,9.809870777E-1,-4.157433479E0,-1.218693058E0,4.442049251E0
1.362277667E0,6.361160327E-1,-2.080545164E0,-2.208298640E0,3.099983011E0
1.372255667E0,5.264601643E-1,1.263782108E-1,-2.754743162E0,2.807443970E0
1.382234667E0,7.758803473E-1,2.122459175E0,-2.295621543E0,3.221288800E0
1.392212667E0,1.245466582E0,3.943621852E0,-9.667529082E-1,4.247110960E0
1.402191667E0,1.397074505E0,5.834002115E0,6.786296028E-1,6.037212600E0
1.412169667E0,1.378009951E0,6.948959135E0,1.838497333E0,7.318949169E0
1.422148667E0,1.892077855E0,7.336279870E0,1.709121255E0,7.766727522E0
1.432127667E0,2.430483040E0,7.968839260E0,1.110479808E-1,8.331985275E0
1.442105667E0,1.792515852E0,8.850604643E0,-1.796291546E0,9.207224280E0
1.452084667E0,5.230469983E-1,9.444044992E0,-2.777353760E0,9.857852600E0
1.462062667E0,3.973941347E-3,9.632402519E0,-2.358688003E0,9.916985589E0
1.472041667E0,2.694280942E-1,9.404365202E0,-1.064619365E0,9.468267568E0
1.482019667E0,6.332598871E-1,8.894652303E0,4.229827563E-1,8.927192845E0
1.491998667E0,8.848354635E-1,8.219740945E0,1.719212233E0,8.444096500E0
1.501976667E0,9.590441584E-1,7.281868604E0,2.533332494E0,7.769372535E0
1.511955667E0,9.211339550E-1,6.065729025E0,2.789853353E0,6.739795108E0
1.521933667E0,7.788380883E-1,4.630940418E0,2.572636308E0,5.354498622E0
1.531912667E0,5.821091024E-1,3.052772235E0,2.043057056E0,3.719186936E0
1.541890667E0,4.542997125E-1,1.469018208E0,1.397396833E0,2.077768185E0
1.551869667E0,2.211049133E-1,-8.797896087E-2,7.950872813E-1,8.299346150E-1
1.561848667E0,-1.893296634E-1,-1.534270796E0,3.909137021E-1,1.594567690E0
1.571826667E0,-5.622040109E-1,-2.818343911E0,1.471923982E-1,2.877638155E0
1.581805667E0,-7.593534847E-1,-4.045059934E0,1.107999127E-1,4.117208303E0
1.591783667E0,-7.100133634E-1,-5.293104261E0,1.894461326E-1,5.343871399E0
1.601762667E0,-4.822993604E-1,-6.545067392E0,2.930677110E-1,6.569353737E0
1.611740667E0,-3.114900948E-1,-7.749457576E0,2.952335197E-1,7.761332465E0
1.621719667E0,-2.829996462E-1,-8.721033853E0,1.488584161E-1,8.726894011E0
1.631697667E0,-5.787814520E-1,-9.420970125E0,3.077740431E-2,9.438782406E0
1.641676667E0,-9.731568519E-1,-9.757413651E0,5.563698784E-3,9.805824104E0
1.651654667E0,-1.336073135E0,-9.746280552E0,1.268706194E-1,9.838250463E0
1.661633667E0,-1.591787079E0,-9.660672053E0,2.392493534E-1,9.793855771E0
1.671611667E0,-1.662918018E0,-9.183325247E0,2.044753407E-1,9.334911306E0
1.681590667E0,-1.525880918E0,-8.105417939E0,-1.636230011E-2,8.247810635E0
1.691569667E0,-1.194365718E0,-6.588681774E0,-5.986238686E-1,6.722766359E0
1.701547667E0,-7.336421080E-1,-4.802212381E0,-1.639568040E0,5.127149096E0
1.711526667E0,-5.210987426E-1,-3.052657630E0,-3.124767832E0,4.399367740E0
1.721504667E0,-5.512008301E-1,-1.429253633E0,-5.204772128E0,5.425517599E0
1.731483667E0,-9.972837062E-1,5.768120366E-1,-6.833973055E0,6.930402198E0
1.741461667E0,-1.876925380E0,3.330650049E0,-6.498626466E0,7.539776163E0
1.751440667E0,-2.464974742E0,6.121920183E0,-3.984948803E0,7.709333575E0
1.761418667E0,-1.550017640E0,7.584724554E0,-6.921600598E-1,7.772366872E0
1.771397667E0,3.961932262E-1,7.950775457E0,1.981971048E0,8.203658250E0
1.781375667E0,1.125913534E0,8.077994497E0,3.709346725E0,8.959962584E0
1.791354667E0,6.240323230E-1,8.142046652E0,4.232861391E0,9.197796235E0
1.801332667E0,-1.297015489E-1,8.202486981E0,3.876818583E0,9.073441326E0
1.811311667E0,-8.477935716E-1,8.262147292E0,2.905310719E0,8.799014842E0
1.821290667E0,-1.486880575E0,8.049496922E0,1.958303273E0,8.416660042E0
1.831268667E0,-1.875224279E0,7.347215332E0,1.690694193E0,7.768943692E0
1.841247667E0,-2.114627853E0,6.302368766E0,1.907031817E0,6.915798824E0
1.851225667E0,-1.988578987E0,5.213345901E0,2.202273669E0,5.998619106E0
1.861204667E0,-1.389434972E0,4.123809650E0,2.189548373E0,4.871391757E0
1.871182667E0,-6.532327332E-1,2.888131599E0,1.856757018E0,3.495077075E0
1.881161667E0,1.485346996E-1,1.554073561E0,1.335008357E0,2.054131082E0
1.891139667E0,8.216650692E-1,1.337930650E-1,7.755736609E-1,1.137782305E0
1.901118667E0,1.293797766E0,-1.287045255E0,2.738869433E-1,1.845375898E0
1.911096667E0,1.454957116E0,-2.637018830E0,-7.468597390E-2,3.012697548E0
1.921075667E0,1.443939792E0,-3.851099605E0,-2.973718464E-1,4.123634356E0
1.931053667E0,1.319501103E0,-4.924483507E0,-4.133338273E-1,5.114925789E0
1.941032667E0,1.139437412E0,-5.871747061E0,-3.944003968E-1,5.994270835E0
1.951010667E0,1.115524493E0,-6.674708934E0,-3.901613847E-1,6.778521974E0
1.960989667E0,1.296882903E0,-7.440294235E0,-4.778151673E-1,7.567574968E0
1.970968667E0,1.593447249E0,-8.014203129E0,-5.178019363E-1,8.187468765E0
1.980946667E0,1.861612838E0,-8.300867554E0,-5.367703038E-1,8.523973655E0
1.990925667E0,1.978419011E0,-8.418928100E0,-5.093094403E-1,8.663249289E0
2.000903667E0,1.898424277E0,-8.404971966E0,-4.666230849E-1,8.629328224E0
2.010882667E0,1.688553966E0,-8.231192132E0,-3.056211348E-1,8.408159293E0
2.020860667E0,1.357150155E0,-7.772568696E0,-5.886508942E-2,7.890383120E0
2.030839667E0,1.151325825E0,-6.852856053E0,1.938994452E-1,6.951602998E0
2.040817667E0,1.194939110E0,-5.356578126E0,4.101291876E-2,5.488396009E0
2.050796667E0,1.339592282E0,-3.483741265E0,-7.415134835E-1,3.805365019E0
2.060774667E0,1.155995923E0,-1.703285149E0,-2.175527920E0,2.995067378E0
2.070753667E0,4.535738903E-1,-1.111397821E-1,-3.391412560E0,3.423413571E0
2.080731667E0,-1.256126823E-1,1.926568095E0,-3.524739017E0,4.018859081E0
2.090710667E0,-2.688915939E-1,4.727561563E0,-2.065745861E0,5.166183019E0
2.100688458E0,-2.873922756E-1,7.696501098E0,6.444327468E-1,7.728778496E0
2.110667458E0,7.542946929E-1,8.441145181E0,3.694507077E0,9.245067603E0
2.120646458E0,2.842684993E0,7.322506168E0,5.660772504E0,9.682164009E0
2.130624458E0,4.076437555E0,6.458560760E0,5.722109796E0,9.543211763E0
2.140603458E0,3.754001327E0,6.101630929E0,4.249394978E0,8.329452781E0
2.150581458E0,2.390083458E0,6.334812627E0,2.296823730E0,7.149667769E0
2.160560458E0,7.644966955E-1,6.950161908E0,6.817952853E-1,7.025243807E0
2.170538458E0,-4.028862416E-1,7.112967103E0,-4.593601122E-1,7.139161718E0
2.180517458E0,-9.352548346E-1,6.531997111E0,-6.962917024E-1,6.635247546E0
2.190495458E0,-1.118182126E0,5.717571187E0,-9.491785169E-2,5.826659501E0
2.200474458E0,-1.031155092E0,5.017988087E0,8.631694829E-1,5.195050223E0
2.210452458E0,-8.671901746E-1,4.205926777E0,1.715950218E0,4.624535004E0
2.220431458E0,-7.475966343E-1,3.135003968E0,2.237194995E0,3.923288423E0
2.230409458E0,-5.886536716E-1,1.960541003E0,2.289507548E0,3.071168993E0
2.240388458E0,-3.824472262E-1,8.225237328E-1,1.964130462E0,2.163473976E0
2.250366458E0,-2.535423604E-1,-2.631574488E-1,1.512662556E0,1.556175948E0
2.260345458E0,-1.646144696E-1,-1.277286837E0,1.043614997E0,1.657616315E0
2.270323458E0,-1.164297763E-1,-2.206251529E0,7.359668148E-1,2.328679638E0
2.280302458E0,-1.266970211E-1,-3.037511002E0,5.876561366E-1,3.096427774E0
2.290281458E0,-1.908302051E-1,-3.807401024E0,5.560314707E-1,3.852517322E0
2.300259458E0,-2.743061521E-1,-4.638055894E0,4.461326140E-1,4.667530466E0
2.310238458E0,-4.323003676E-1,-5.373908688E0,2.615706606E-1,5.397610343E0
2.320216458E0,-6.505606288E-1,-5.921037335E0,5.689355448E-2,5.956941256E0
2.330195458E0,-9.574096423E-1,-6.238283867E0,-1.670491771E-1,6.313535005E0
2.340173458E0,-1.053540572E0,-6.357597472E0,-4.568077295E-1,6.460469538E0
2.350152458E0,-9.114989130E-1,-6.312635892E0,-7.635756860E-1,6.423647718E0
2.360130458E0,-9.516605137E-1,-6.211469706E0,-7.215856609E-1,6.325243039E0
2.370109458E0,-7.956041752E-1,-5.997080959E0,-5.906213327E-1,6.078387911E0
2.380087458E0,-5.995225126E-1,-5.556040100E0,-2.235104030E-1,5.592760118E0
2.390066458E0,-4.436134142E-1,-4.863122241E0,3.678476789E-1,4.897148427E0
2.400044458E0,-2.579299466E-1,-4.068068143E0,7.332279789E-1,4.141657826E0
2.410023458E0,-1.423429185E-1,-3.251386948E0,6.548916614E-1,3.319738195E0
2.420001458E0,7.447538277E-2,-2.397737317E0,5.806021653E-1,2.468155120E0
2.429980458E0,3.165244744E-1,-1.531146044E0,5.926720244E-1,1.672081361E0
2.439958458E0,2.475333048E-1,-6.644296396E-1,4.616177587E-1,8.460676321E-1
2.449937458E0,-6.273075677E-3,2.185788614E-1,1.511481492E-1,2.658229356E-1
2.459915458E0,-4.231822926E-1,1.339608216E0,5.235072473E-2,1.405835703E0
2.469894458E0,-1.178609299E0,2.462016928E0,-8.750095099E-1,2.866406963E0
2.479873458E0,-1.679607726E0,2.957647977E0,-1.307521620E0,3.643950666E0
2.489851458E0,-1.050278630E0,2.939379521E0,9.396756220E-1,3.259758801E0
2.499830458E0,-6.326770659E-1,2.966286069E0,2.353652819E0,3.839116422E0
2.509808458E0,-5.173220260E-1,3.347556104E0,3.195026806E0,4.656388111E0
2.519787458E0,-6.235157946E-1,3.755395887E0,3.809683776E0,5.385671796E0
2.529765458E0,-7.860685359E-1,4.058613195E0,3.639495302E0,5.507828145E0
2.539744458E0,-8.849101616E-1,4.049464642E0,1.597230690E0,4.442113884E0
